Customer No.	Exposure at Default (in lakh Rs.)	 Recovery (%) 	Probability of Default
4565	12.06	 0.15 	0.0037
4566	5.72	 0.30 	0.0024
4567	11.85	 0.35 	0.0059
4568	3.51	 0.17 	0.0037
4569	19.94	 0.16 	0.0076
4570	24.57	 0.18 	0.0045
4571	13.72	 0.16 	0.0064
4572	16.71	 0.13 	0.0007
4573	2.12	 0.31 	0.0021
4574	9.19	 0.38 	0.0073
4575	1.83	 0.02 	0.0015
4576	16.96	 0.23 	0.0014
4577	0.16	 0.03 	0.0008
4578	7.26	 0.23 	0.0019
4579	7.5	 0.02 	0.0092
4580	11.36	 0.15 	0.0073
4581	15.72	 0.26 	0.0086
4582	9.89	 0.30 	0.0019
4583	4.8	 0.12 	0.0048
4584	7.93	 0.30 	0.0005
4585	9.94	 0.20 	0.0082
4586	3.46	 0.02 	0.006
4587	15.84	 0.09 	0.0032
4588	24.02	 0.21 	0.0021
4589	13.01	 0.32 	0.0094
4590	2.24	 0.22 	0.0029
4591	14.87	 0.08 	0.0097
4592	18.03	 0.26 	0.0022
4593	1.42	 0.30 	0.0096
4594	0.48	 0.12 	0.0042
4595	17.7	 0.00 	0.0092
4596	6.48	 0.00 	0.0003
4597	18.45	 0.38 	0.0037
4598	4.84	 0.04 	0.0016
4599	24.03	 0.25 	0.0033
4600	24.24	 0.01 	0.0071
4601	14.03	 0.09 	0.0098
4602	6.31	 0.32 	0.0072
4603	15.45	 0.20 	0.0067
4604	2.01	 0.22 	0.0005
4605	4.26	 0.39 	0.009
4606	6.03	 0.15 	0.0077
4607	20.8	 0.11 	0.0074
4608	0.36	 0.29 	0.0096
4609	7.13	 0.08 	0.0058
4610	1.75	 0.02 	0.0052
4611	21.86	 0.35 	0.0091
4612	13.5	 0.22 	0.0098
4613	19.03	 0.09 	0.0084
4614	0.48	 0.32 	0.0036
4615	2.9	 0.25 	0.0047
4616	3.68	 0.28 	0.0076
4617	2.99	 0.09 	0.0091
4618	17.72	 0.16 	0.0086
4619	8.36	 0.24 	0.002
4620	18.67	 0.07 	0.0005
4621	10	 0.24 	0.0015
4622	0.28	 0.06 	0.0062
4623	19.5	 0.28 	0.0088
4624	10.15	 0.03 	0.002
4625	2.13	 0.33 	0.004
4626	0.19	 0.10 	0.0059
4627	6.68	 0.34 	0.0091
4628	24.25	 0.26 	0.006
4629	23.28	 0.33 	0.0027
4630	18.59	 0.22 	0.0083
4631	17.65	 0.00 	0.008
4632	11.25	 0.18 	0.0087
4633	20.76	 0.12 	0.0091
4634	3.17	 0.39 	0.0018
4635	18.75	 0.01 	0.003
4636	7.12	 0.00 	0.0092
4637	1.69	 0.23 	0.0026
4638	20.96	 0.22 	0.006
4639	11.19	 0.31 	0.0095
4640	11.44	 0.17 	0.0015
4641	16.49	 0.27 	0.0027
4642	9.58	 0.33 	0.0059
4643	14.08	 0.33 	0.0028
4644	23.6	 0.31 	0.0058
4645	11.15	 0.20 	0.0067
4646	0.53	 0.05 	0.0046
4647	17.78	 0.02 	0.0056
4648	2.4	 0.07 	0.0089
4649	2.33	 0.09 	0.0024
4650	19.44	 0.31 	0.0036
4651	20.35	 0.10 	0.005
4652	19.86	 0.20 	0.0076
4653	15.2	 0.04 	0.0067
4654	24.47	 0.05 	0.001
4655	14.37	 0.37 	0.0084
4656	19.98	 0.16 	0.0048
4657	18.35	 0.32 	0.0095
4658	1.86	 0.36 	0.0074
4659	21.36	 0.36 	0.0061
4660	0.96	 0.35 	0.0092
4661	17.99	 0.12 	0.0055
4662	23.77	 0.32 	0.0002
4663	5.98	 0.22 	0.0052
4664	12.62	 0.36 	0.0087
4665	16.17	 0.27 	0.0024
4666	1.69	 0.25 	0.0046
4667	15.71	 0.08 	0.0036
4668	21.85	 0.22 	0.0032
4669	4.25	 0.15 	0.0074
4670	6.14	 0.34 	0.0094
4671	9.95	 0.25 	0.0072
4672	8.97	 0.11 	0.0069
4673	3.93	 0.03 	0.0069
4674	0.21	 0.28 	0.0033
4675	19.51	 0.16 	0.0024
4676	4.08	 0.30 	0.0055
4677	21.91	 0.21 	0.0019
4678	7.98	 0.07 	0.0067
4679	15.47	 0.35 	0.0028
4680	9.53	 0.04 	0.0037
4681	18.89	 0.00 	0.0053
4682	0.76	 0.27 	0.0067
4683	2.8	 0.27 	0.0041
4684	10.08	 0.05 	0.0053
4685	16.39	 0.22 	0.0046
4686	10.47	 0.14 	0.002
4687	15.2	 0.06 	0.0087
4688	11.51	 0.35 	0.0017
4689	18.46	 0.12 	0.009
4690	20.07	 0.35 	0.0064
4691	5.21	 0.09 	0.0028
4692	2.59	 0.09 	0.005
4693	11.19	 0.30 	0.0007
4694	19.77	 0.14 	0.0003
4695	23.94	 0.10 	0.0091
4696	16.21	 0.09 	0.002
4697	16.48	 0.25 	0.005
4698	7.71	 0.10 	0.008
4699	17.48	 0.20 	0.0001
4700	14.14	 0.29 	0.004
4701	11.09	 0.08 	0.0078
4702	7.53	 0.09 	0.003
4703	15.01	 0.15 	0.0026
4704	3.49	 0.36 	0.0059
4705	18.2	 0.14 	0.0097
4706	9.08	 0.08 	0.0058
4707	19.04	 0.38 	0.0043
4708	7.91	 0.02 	0.001
4709	10.87	 0.08 	0.0056
4710	1.88	 0.33 	0.0017
4711	4.36	 0.07 	0.0008
4712	3.14	 0.30 	0.0079
4713	1.98	 0.34 	0.0041
4714	18.77	 0.19 	0.0004
4715	6.2	 0.16 	0.0039
4716	5.99	 0.23 	0.0095
4717	18.48	 0.06 	0.0099
4718	8.43	 0.02 	0.0017
4719	15.05	 0.16 	0.0036
4720	21.69	 0.18 	0.0069
4721	6.06	 0.20 	0.0052
4722	24.37	 0.01 	0.0056
4723	6.4	 0.14 	0.0041
4724	13.24	 0.37 	0.0044
4725	2.2	 0.29 	0.0017
4726	13.85	 0.08 	0.0043
4727	21.91	 0.23 	0.0046
4728	1.78	 0.05 	0.0081
4729	12.99	 0.25 	0.0015
4730	21.52	 0.19 	0.0033
4731	3.42	 0.23 	0.0015
4732	21.38	 0.28 	0.0049
4733	2.58	 0.25 	0.0044
4734	4.88	 0.39 	0.0094
4735	9.4	 0.37 	0.0031
4736	24.7	 0.05 	0.0034
4737	13.22	 0.38 	0.0086
4738	17.08	 0.22 	0.0061
4739	13.9	 0.01 	0.0056
4740	11	 0.07 	0.0094
4741	9.88	 0.21 	0.0005
4742	10.7	 0.01 	0.0083
4743	20.93	 0.29 	0.001
4744	23.37	 0.40 	0.0022
4745	9.2	 0.31 	0.0077
4746	8.2	 0.09 	0.0081
4747	23.65	 0.15 	0.0033
4748	23.52	 0.19 	0.0026
4749	10.55	 0.25 	0.0021
4750	5.54	 0.14 	0.009
4751	0.46	 0.18 	0.0061
4752	20.1	 0.35 	0.002
4753	21.1	 0.02 	0.0098
4754	12.61	 0.02 	0.0076
4755	17.77	 0.15 	0.0073
4756	9.03	 0.01 	0.0077
4757	8.49	 0.06 	0.0058
4758	9.58	 0.08 	0.0096
4759	7.3	 0.18 	0.0034
4760	23.08	 0.21 	0.0058
4761	4.76	 0.04 	0.0072
4762	20.73	 0.07 	0.0054
4763	18.85	 0.03 	0.0024
4764	22.85	 0.13 	0.0093
4765	3.75	 0.40 	0.0029
4766	21.1	 0.27 	0.0087
4767	21.15	 0.29 	0.0095
4768	0.15	 0.28 	0.0041
4769	0.41	 0.22 	0.0082
4770	8.81	 0.14 	0.0086
4771	6.05	 0.14 	0.0021
4772	14.25	 0.17 	0.0006
4773	22.2	 0.40 	0.0091
4774	9.72	 0.04 	0.0093
4775	13.11	 0.35 	0.0082
4776	8.17	 0.26 	0.0058
4777	10.23	 0.06 	0.0016
4778	0.21	 0.12 	0.0068
4779	7.53	 0.31 	0.0056
4780	3.72	 0.36 	0.0064
4781	19.98	 0.26 	0.0043
4782	1.19	 0.15 	0.0074
4783	0.8	 0.13 	0.0057
4784	12.31	 0.34 	0.0003
4785	17.77	 0.28 	0.0025
4786	5.24	 0.32 	0.009
4787	4.91	 0.14 	0.0034
4788	9.86	 0.34 	0.005
4789	15.67	 0.32 	0.0014
4790	21.47	 0.38 	0.0043
4791	20.67	 0.10 	0.0091
4792	22.12	 0.28 	0.0004
4793	21.62	 0.06 	0.005
4794	0.76	 0.29 	0.0068
4795	20.17	 0.15 	0.003
4796	21.06	 0.13 	0.0085
4797	3.84	 0.31 	0.0024
4798	1.5	 0.19 	0.0045
4799	15.06	 0.31 	0.0017
4800	8.01	 0.16 	0.0075
4801	1.44	 0.23 	0.0021
4802	3.67	 0.28 	0.0067
4803	12.76	 0.26 	0.0094
4804	7.89	 0.09 	0.0041
4805	21.68	 0.24 	0.0053
4806	18.79	 0.28 	0.0038
4807	13.67	 0.26 	0.0066
4808	3.57	 0.17 	0.0081
4809	21.3	 0.35 	0.003
4810	24.08	 0.35 	0.0072
4811	21.02	 0.28 	0.0076
4812	19.21	 0.29 	0.0069
4813	3.72	 0.30 	0.0051
4814	8.2	 0.39 	0.0065
4815	9.21	 0.24 	0.0075
4816	24.17	 0.02 	0.006
4817	21.79	 0.31 	0.009
4818	17.46	 0.04 	0.0093
4819	16.73	 0.34 	0.0016
4820	10.52	 0.28 	0.0093
4821	5.79	 0.14 	0.0083
4822	1.23	 0.18 	0.0053
4823	12.19	 0.15 	0.0056
4824	12.68	 0.30 	0.0035
4825	11.65	 0.18 	0.0082
4826	18.39	 0.20 	0.0015
4827	22.41	 0.19 	0.0022
4828	5.64	 0.28 	0.0087
4829	9.11	 0.26 	0.0015
4830	3.82	 0.39 	0.0036
4831	23.51	 0.23 	0.0048
4832	8.34	 0.24 	0.0042
4833	5.72	 0.38 	0.0042
4834	22.05	 0.09 	0.0073
4835	2.15	 0.09 	0.0093
4836	21.99	 0.35 	0.0054
4837	8.77	 0.03 	0.0025
4838	11.4	 0.14 	0.0038
4839	1.28	 0.33 	0.0004
4840	4.41	 0.07 	0.0038
4841	11.91	 0.18 	0.0076
4842	17	 0.15 	0.009
4843	15.09	 0.04 	0.0001
4844	0.34	 0.30 	0.0064
4845	10.95	 0.34 	0.0094
4846	23.65	 0.08 	0.0097
4847	13.31	 0.09 	0.0091
4848	24.02	 0.34 	0.0026
4849	14.52	 0.19 	0.0004
4850	13.55	 0.02 	0.001
4851	22.68	 0.22 	0.0033
4852	18.97	 0.19 	0.005
4853	21.38	 0.39 	0.0085
4854	16.82	 0.16 	0.0046
4855	24.6	 0.35 	0.0031
4856	1.38	 0.34 	0.0086
4857	1.77	 0.11 	0.0096
4858	16.5	 0.12 	0.0047
4859	11.75	 0.03 	0.0004
4860	21.24	 0.02 	0.0074
4861	6.56	 0.40 	0.0017
4862	4.89	 0.14 	0.0001
4863	16.34	 0.27 	0.0043
4864	3.46	 0.25 	0.0065
4865	11.14	 0.30 	0.0088
4866	11.18	 0.20 	0.008
4867	5.79	 0.12 	0.002
4868	20.05	 0.28 	0.0085
4869	20.99	 0.22 	0.0088
4870	9.39	 0.15 	0.001
4871	23.04	 0.34 	0.0013
4872	22.54	 0.35 	0.0091
4873	11.89	 0.17 	0.0008
4874	12.43	 0.32 	0.0091
4875	2.67	 0.38 	0.0087
4876	8.56	 0.30 	0.0045
4877	3	 0.14 	0.0073
4878	23.26	 0.22 	0.0091
4879	11.77	 0.24 	0.0015
4880	12.2	 0.39 	0.0067
4881	7.54	 0.33 	0.0051
4882	11	 0.20 	0.0084
4883	17.07	 0.31 	0.01
4884	11.26	 0.31 	0.0071
4885	15.97	 0.30 	0.0067
4886	11.11	 0.05 	0.002
4887	3.65	 0.08 	0.0044
4888	4	 0.10 	0.0002
4889	14.38	 0.17 	0.0061
4890	9.34	 0.09 	0.0047
4891	23.92	 0.32 	0.0073
4892	1.03	 0.11 	0.0098
4893	18.93	 0.11 	0.0011
4894	3.43	 0.25 	0.0089
4895	12.49	 0.03 	0.0001
4896	1.25	 0.03 	0.0063
4897	5	 0.26 	0.0087
4898	13.5	 0.06 	0.0026
4899	14.28	 0.36 	0.008
4900	7.89	 0.25 	0.004
4901	5.81	 0.19 	0.0077
4902	4.81	 0.21 	0.0075
4903	2.6	 0.33 	0.009
4904	11.3	 0.27 	0.009
4905	17.12	 0.21 	0.0008
4906	0.06	 0.19 	0.0022
4907	0.21	 0.27 	0.0065
4908	0.95	 0.24 	0.0015
4909	10.51	 0.10 	0.0088
4910	18.79	 0.16 	0.0074
4911	0.53	 0.04 	0.0093
4912	5.28	 0.28 	0.0028
4913	0.78	 0.04 	0.0098
4914	24.22	 0.19 	0.0069
4915	14.32	 0.08 	0.0013
4916	6.35	 0.09 	0.0087
4917	12.22	 0.24 	0.002
4918	21.28	 0.19 	0.0003
4919	5.34	 0.04 	0.0085
4920	21.08	 0.28 	0.0029
4921	18.49	 0.16 	0.0036
4922	23.49	 0.33 	0.0052
4923	0.08	 0.09 	0.0092
4924	8.72	 0.09 	0.0036
4925	13.78	 0.29 	0.0096
4926	14.99	 0.19 	0.0052
4927	11.95	 0.16 	0.0056
4928	4.86	 0.10 	0.0092
4929	2.66	 0.17 	0.0036
4930	6.04	 0.23 	0.0094
4931	23.65	 0.13 	0.0013
4932	18.67	 0.08 	0.0057
4933	11.47	 0.33 	0.0066
4934	4.42	 0.20 	0.0099
4935	24.33	 0.17 	0.0019
4936	12.96	 0.07 	0.0028
4937	7.62	 0.32 	0.0009
4938	0.89	 0.39 	0.0055
4939	10.14	 0.38 	0.0028
4940	13.55	 0.07 	0.0084
4941	0.81	 0.15 	0.0015
4942	4.47	 0.01 	0.0073
4943	14.59	 0.04 	0.0066
4944	3.11	 0.32 	0.0077
4945	21.9	 0.02 	0.0085
4946	13.1	 0.32 	0.0023
4947	19.79	 0.34 	0.0083
4948	8.69	 0.19 	0.0087
4949	6.01	 0.36 	0.0096
4950	12.83	 0.39 	0.0092
4951	5.29	 0.36 	0.0011
4952	19.37	 0.29 	0.0071
4953	16.33	 0.16 	0.0067
4954	12.01	 0.36 	0.005
4955	9.58	 0.15 	0.0066
4956	6.17	 0.21 	0.0007
4957	11.53	 0.24 	0.0088
4958	20.18	 0.19 	0.002
4959	17.55	 0.19 	0.0047
4960	19.21	 0.28 	0.0061
4961	17.54	 0.30 	0.0065
4962	15.5	 0.22 	0.0095
4963	4.79	 0.26 	0.0079
4964	15.82	 0.22 	0.0058
4965	15.75	 0.38 	0.0043
4966	14.58	 0.20 	0.006
4967	2.1	 0.38 	0.0085
4968	8.73	 0.21 	0.0093
4969	23.46	 0.32 	0.0047
4970	0.42	 0.31 	0.0075
4971	1.93	 0.25 	0.0033
4972	20.24	 0.17 	0.0084
4973	0.72	 0.34 	0.0009
4974	9.23	 0.22 	0.0028
4975	3.14	 0.34 	0.0086
4976	8.99	 0.01 	0.0006
4977	18.74	 0.22 	0.0029
4978	24.22	 0.32 	0.0013
4979	4.95	 0.06 	0.0089
4980	5.23	 0.25 	0.0079
4981	0.18	 0.01 	0.0002
4982	22.15	 0.27 	0.0021
4983	10.41	 0.23 	0.0027
4984	5.9	 0.20 	0.0015
4985	11.33	 0.15 	0.0046
4986	24.39	 0.11 	0.0012
4987	3.94	 0.07 	0.0049
4988	15.02	 0.40 	0.0032
4989	20.76	 0.40 	0.007
4990	15.54	 0.13 	0.0078
4991	10.56	 0.09 	0.0088
4992	3.13	 0.09 	0.0079
4993	5.23	 0.25 	0.0039
4994	3.16	 0.38 	0.0085
4995	15.11	 0.28 	0.0091
4996	1.34	 0.32 	0.006
4997	13.3	 0.16 	0.0099
4998	15.69	 0.33 	0.005
4999	13.41	 0.39 	0.0086
5000	0.36	 0.34 	0.0093
5001	24.98	 0.18 	0.0009
5002	18.41	 0.15 	0.0003
5003	9.58	 0.23 	0.0025
5004	16.77	 0.24 	0.0063
5005	12.29	 0.22 	0.0008
5006	16.19	 0.11 	0.005
5007	13.71	 0.02 	0.0045
5008	14.96	 0.01 	0.0021
5009	6.64	 0.27 	0.0083
5010	24.26	 0.31 	0.0024
5011	6.31	 0.17 	0.0046
5012	11.39	 0.21 	0.002
5013	8.73	 0.08 	0.0092
5014	4.44	 0.38 	0.001
5015	22.99	 0.39 	0.0062
5016	11.79	 0.02 	0.0044
5017	24.11	 0.27 	0.0082
5018	7.28	 0.29 	0.0001
5019	9.14	 0.06 	0.007
5020	16.48	 0.20 	0.0059
5021	5.97	 0.39 	0.001
5022	12.35	 0.07 	0.0062
5023	22.07	 0.02 	0.0099
5024	12.76	 0.34 	0.0055
5025	18.78	 0.08 	0.0077
5026	11.82	 0.03 	0.0028
5027	23.27	 0.16 	0.0038
5028	16.89	 0.10 	0.0062
5029	24.87	 0.05 	0.0099
5030	3.06	 0.28 	0.0073
5031	6.21	 0.25 	0.0099
5032	2.2	 0.19 	0.0074
5033	21.67	 0.22 	0.0061
5034	17.49	 0.39 	0.0021
5035	20.79	 0.12 	0.0061
5036	0.2	 0.22 	0.0043
5037	1.29	 0.19 	0.0012
5038	20.92	 0.36 	0.0026
5039	21.14	 0.31 	0.0081
5040	21.87	 0.37 	0.0022
5041	11.21	 0.00 	0.0087
5042	16.25	 0.32 	0.0019
5043	21.67	 0.19 	0.0077
5044	14.72	 0.05 	0.0093
5045	7.36	 0.07 	0.0079
5046	3.13	 0.28 	0.0039
5047	6.44	 0.24 	0.0031
5048	10.48	 0.20 	0.0017
5049	20.16	 0.19 	0.0063
5050	23.2	 0.17 	0.0075
5051	0.05	 0.04 	0.0042
5052	0.35	 0.25 	0.0056
5053	7.87	 0.00 	0.0068
5054	20.84	 0.30 	0.0029
5055	18.72	 0.09 	0.0014
5056	11.48	 0.17 	0.0049
5057	15.49	 0.23 	0.0041
5058	16.19	 0.10 	0.002
5059	9.86	 0.39 	0.0091
5060	8.45	 0.19 	0.0083
5061	9.18	 0.07 	0.005
5062	3.79	 0.27 	0.0038
5063	3.99	 0.18 	0.0079
5064	24.68	 0.09 	0.0096
5065	16.99	 0.17 	0.003
5066	18.3	 0.12 	0.0044
5067	4.67	 0.13 	0.0083
5068	23.37	 0.14 	0.0015
5069	14.9	 0.13 	0.0045
5070	6.48	 0.08 	0.0083
5071	11.86	 0.25 	0.0093
5072	20.97	 0.27 	0.005
5073	3.94	 0.00 	0.0015
5074	23.61	 0.17 	0.0069
5075	12.02	 0.34 	0.0054
5076	19.13	 0.13 	0.0061
5077	20.88	 0.21 	0.0007
5078	23.93	 0.14 	0.0027
5079	15.53	 0.21 	0.0073
5080	13.79	 0.08 	0.0074
5081	9.39	 0.33 	0.0011
5082	24.78	 0.18 	0.0035
5083	20.38	 0.34 	0.0075
5084	8.67	 0.33 	0.005
5085	20.13	 0.23 	0.006
5086	3.32	 0.08 	0.0061
5087	0.98	 0.20 	0.006
5088	12.46	 0.35 	0.0065
5089	0.78	 0.10 	0.0019
5090	8.5	 0.03 	0.0037
5091	12.1	 0.06 	0.0011
5092	12.05	 0.33 	0.0017
5093	1.5	 0.38 	0.0049
5094	4.38	 0.37 	0.0043
5095	4.84	 0.30 	0.0018
5096	9.8	 0.02 	0.0098
5097	19.9	 0.15 	0.0079
5098	8.24	 0.16 	0.0073
5099	11.73	 0.09 	0.0064
5100	7.43	 0.12 	0.0051
5101	1.8	 0.40 	0.0053
5102	0.23	 0.19 	0.0066
5103	9.87	 0.16 	0.0083
5104	4.24	 0.37 	0.0065
5105	22.24	 0.19 	0.0053
5106	24	 0.26 	0.0023
5107	11.78	 0.12 	0.0013
5108	0.56	 0.19 	0.0066
5109	3.05	 0.38 	0.0028
5110	1.05	 0.32 	0.004
5111	19.64	 0.23 	0.0075
5112	5.84	 0.20 	0.0092
5113	11.69	 0.28 	0.0087
5114	20.02	 0.35 	0.0005
5115	15.76	 0.17 	0.0036
5116	11.22	 0.22 	0.0078
5117	8.02	 0.14 	0.0052
5118	3.15	 0.38 	0.0016
5119	21.27	 0.21 	0.0023
5120	23.08	 0.03 	0.0024
5121	17.1	 0.32 	0.0098
5122	16.95	 0.18 	0.0092
5123	19.31	 0.03 	0.0024
5124	5.65	 0.39 	0.0065
5125	3.61	 0.08 	0.0045
5126	2.17	 0.15 	0.0069
5127	24.85	 0.20 	0.0011
5128	4.43	 0.29 	0.0077
5129	4.65	 0.31 	0.008
5130	18.73	 0.17 	0.0054
5131	17.42	 0.37 	0.0022
5132	23.55	 0.25 	0.0002
5133	22.24	 0.12 	0.0022
5134	17.32	 0.30 	0.0016
5135	9.45	 0.04 	0.0035
5136	3.37	 0.14 	0.0007
5137	3.64	 0.03 	0.0067
5138	5.93	 0.12 	0.0088
5139	20.83	 0.18 	0.0095
5140	7.93	 0.17 	0.0092
5141	14.55	 0.37 	0.0022
5142	11.14	 0.36 	0.0088
5143	4.97	 0.19 	0.004
5144	19.19	 0.06 	0.0034
5145	3.15	 0.07 	0.0096
5146	24.43	 0.21 	0.0014
5147	13.99	 0.36 	0.0056
5148	7.99	 0.15 	0.0018
5149	20.86	 0.24 	0.0049
5150	10.39	 0.04 	0.0005
5151	2.77	 0.32 	0.01
5152	11.38	 0.17 	0.0026
5153	22.79	 0.13 	0.0014
5154	22.15	 0.25 	0.0079
5155	21.85	 0.05 	0.0089
5156	0.54	 0.06 	0.0092
5157	19.33	 0.08 	0.004
5158	13.68	 0.09 	0.0097
5159	20.48	 0.17 	0.0022
5160	17.83	 0.26 	0.0032
5161	12.84	 0.24 	0.0048
5162	21.17	 0.27 	0.0037
5163	23.74	 0.01 	0.0024
5164	18.9	 0.01 	0.0025
5165	14.86	 0.27 	0.0002
5166	4.56	 0.38 	0.0034
5167	10.82	 0.19 	0.0073
5168	5.12	 0.13 	0.0094
5169	11.97	 0.31 	0.0068
5170	10.95	 0.00 	0.0018
5171	11.1	 0.03 	0.0085
5172	0.43	 0.29 	0.002
5173	10.43	 0.04 	0.0046
5174	21.04	 0.40 	0.0087
5175	18.03	 0.39 	0.0086
5176	0.08	 0.37 	0.0045
5177	20.91	 0.02 	0.0016
5178	16.63	 0.03 	0.0091
5179	1.54	 0.10 	0.002
5180	5.23	 0.00 	0.0053
5181	11.08	 0.01 	0.0011
5182	8.44	 0.38 	0.0069
5183	15.72	 0.33 	0.0048
5184	4.63	 0.15 	0.006
5185	0.81	 0.30 	0.0032
5186	18.82	 0.09 	0.0073
5187	19.79	 0.16 	0.0003
5188	21.72	 0.14 	0.0066
5189	16.25	 0.29 	0.0023
5190	8.64	 0.29 	0.0011
5191	10.87	 0.30 	0.0084
5192	16.24	 0.28 	0.0049
5193	9.33	 0.32 	0.0031
5194	15.47	 0.25 	0.0023
5195	22.88	 0.02 	0.0014
5196	13.79	 0.00 	0.0037
5197	9.48	 0.19 	0.0055
5198	15.28	 0.08 	0.0093
5199	3.06	 0.37 	0
5200	4.37	 0.24 	0.0033
5201	10.67	 0.18 	0.0088
5202	19.24	 0.23 	0.0067
5203	9.02	 0.36 	0.0013
5204	14.41	 0.27 	0.0057
5205	16.16	 0.36 	0.0007
5206	5.33	 0.21 	0.0013
5207	8.47	 0.08 	0.0022
5208	17.07	 0.02 	0.009
5209	18.7	 0.30 	0.0068
5210	3.78	 0.36 	0
5211	20.24	 0.15 	0.0075
5212	22.21	 0.39 	0.0002
5213	9.31	 0.25 	0.0045
5214	8.86	 0.25 	0.0003
5215	1.96	 0.24 	0.0038
5216	4.79	 0.36 	0.0005
5217	15.71	 0.35 	0.0033
5218	1.58	 0.35 	0.003
5219	8.63	 0.15 	0.0046
5220	6.39	 0.27 	0.0064
5221	3.05	 0.32 	0.0014
5222	3.44	 0.25 	0.0039
5223	6.53	 0.19 	0.0058
5224	4.96	 0.31 	0.0034
5225	6.21	 0.24 	0.0087
5226	1.58	 0.24 	0.0031
5227	11.15	 0.17 	0.0061
5228	7.64	 0.15 	0.0073
5229	24.61	 0.09 	0.0097
5230	4.92	 0.11 	0.005
5231	8.3	 0.10 	0.0074
5232	10.46	 0.08 	0.0027
5233	15.25	 0.08 	0.0042
5234	1.66	 0.03 	0
5235	7.45	 0.04 	0.0054
5236	10.56	 0.19 	0.0028
5237	14.94	 0.06 	0.0031
5238	21.64	 0.07 	0.0037
5239	7.59	 0.27 	0.0078
5240	10.85	 0.12 	0.0011
5241	9.09	 0.05 	0.0051
5242	0.68	 0.35 	0.0009
5243	6.83	 0.10 	0.0019
5244	2.14	 0.15 	0.0003
5245	18.34	 0.01 	0.0027
5246	11.33	 0.04 	0.0081
5247	21.6	 0.29 	0.0022
5248	3.97	 0.05 	0.0001
5249	7.53	 0.08 	0.0025
5250	13.94	 0.35 	0.0074
5251	7.71	 0.10 	0.0027
5252	13.97	 0.24 	0.0008
5253	10.67	 0.09 	0.0075
5254	21.57	 0.25 	0.0072
5255	3.23	 0.24 	0.0057
5256	20.79	 0.36 	0.004
5257	23.44	 0.16 	0.0068
5258	2.75	 0.25 	0.0004
5259	14.98	 0.00 	0.007
5260	23.56	 0.37 	0.0087
5261	18.5	 0.31 	0.0002
5262	20.06	 0.23 	0.0062
5263	7.24	 0.07 	0.0034
5264	7.78	 0.25 	0.0013
5265	22.09	 0.13 	0.0065
5266	21.02	 0.12 	0.0021
5267	24.08	 0.14 	0.0026
5268	22.12	 0.20 	0.0034
5269	21.12	 0.11 	0.0047
5270	0.68	 0.23 	0.0044
5271	13.85	 0.10 	0.0075
5272	9.02	 0.08 	0.0014
5273	19.75	 0.01 	0.0081
5274	3.88	 0.33 	0.0056
5275	0.26	 0.04 	0.001
5276	18.99	 0.07 	0.0018
5277	15.5	 0.38 	0.003
5278	14.17	 0.02 	0.0003
5279	6.07	 0.38 	0.0077
5280	22.08	 0.15 	0.0003
5281	8.4	 0.17 	0.0089
5282	14.6	 0.34 	0.0001
5283	1.48	 0.25 	0.0047
5284	5.49	 0.35 	0.0008
5285	17.3	 0.17 	0.0043
5286	1.17	 0.10 	0.0093
5287	5.29	 0.10 	0.0007
5288	13.81	 0.07 	0.0001
5289	14.77	 0.18 	0.0074
5290	2.43	 0.06 	0.0084
5291	14.62	 0.22 	0.003
5292	19.87	 0.02 	0.0018
5293	16.09	 0.11 	0.0087
5294	7.03	 0.05 	0.001
5295	2.62	 0.07 	0.0061
5296	6.35	 0.10 	0.0008
5297	5.28	 0.15 	0.006
5298	19.73	 0.08 	0.0051
5299	17.64	 0.39 	0.0091
5300	7.39	 0.06 	0.0001
5301	24.79	 0.16 	0.0046
5302	4.35	 0.31 	0.0046
5303	15.14	 0.04 	0.0041
5304	11.36	 0.10 	0.0008
5305	14.14	 0.11 	0.0035
5306	9.62	 0.13 	0.0023
5307	18.07	 0.02 	0.0047
5308	17.4	 0.26 	0.0091
5309	12.42	 0.13 	0.0041
5310	9.61	 0.37 	0.0023
5311	9.11	 0.21 	0.0065
5312	7.97	 0.39 	0.0021
5313	17.94	 0.31 	0.0053
5314	2.4	 0.08 	0.0009
5315	7.93	 0.15 	0.0033
5316	2.21	 0.10 	0.0021
5317	14.8	 0.10 	0.0092
5318	16.79	 0.09 	0
5319	16.88	 0.09 	0.0053
5320	10.62	 0.34 	0.0051
5321	7.22	 0.14 	0.0084
5322	13.45	 0.06 	0.0081
5323	18.01	 0.28 	0.0094
5324	9.4	 0.10 	0.0094
5325	19.06	 0.30 	0.0032
5326	17.55	 0.40 	0.0095
5327	5.44	 0.03 	0.0076
5328	1.23	 0.21 	0.0095
5329	7.58	 0.29 	0.0046
5330	2.18	 0.18 	0.0024
5331	14.52	 0.01 	0.0098
5332	22.15	 0.11 	0.0016
5333	18.03	 0.22 	0.0047
5334	7.97	 0.19 	0.0062
5335	9.64	 0.31 	0.0093
5336	7.29	 0.18 	0.0058
5337	8.83	 0.20 	0.0041
5338	20.86	 0.20 	0.0059
5339	24.08	 0.05 	0.0013
5340	17.21	 0.09 	0.0079
5341	9.12	 0.18 	0.0071
5342	19.19	 0.14 	0.0018
5343	20.54	 0.15 	0.0052
5344	5.39	 0.36 	0.0079
5345	4.24	 0.05 	0.0075
